SessionID,DeviceType,Country,ReferralSource,Purchased,MaxStepOrder,Timestamp,furthest_step
session_1191,Tablet,Australia,Email,0,1,2025-03-15 15:52:13,product_page
session_1192,Desktop,India,Google,0,2,2025-06-24 00:16:51,cart
session_1193,Desktop,India,Direct,0,1,2025-02-16 02:29:55,product_page
session_1194,Tablet,Germany,Direct,0,0,2025-08-31 21:10:50,home
session_1195,Desktop,USA,Google,0,1,2025-04-27 07:16:17,product_page
session_1196,Tablet,USA,Google,1,4,2025-04-28 07:28:36,confirmation
session_1197,Tablet,Australia,Google,1,4,2025-01-27 04:36:16,confirmation
session_1198,Tablet,India,Google,0,0,2025-07-17 00:47:16,home
session_1199,Mobile,UK,Direct,0,1,2025-05-03 18:49:12,product_page
session_12,Mobile,France,Email,0,2,2025-03-31 11:11:46,cart
session_120,Mobile,Germany,Social Media,1,4,2025-07-04 20:22:01,confirmation
session_1200,Tablet,USA,Google,0,2,2025-02-16 18:25:02,cart
session_1201,Desktop,UK,Google,0,3,2025-07-17 16:49:07,checkout
session_1202,Desktop,UK,Email,0,1,2025-02-02 04:53:46,product_page
session_1203,Desktop,Germany,Direct,0,1,2025-07-02 07:21:53,product_page
session_1204,Tablet,France,Email,0,1,2025-05-27 00:07:26,product_page
session_1205,Tablet,Australia,Direct,0,1,2025-01-20 09:49:13,product_page
session_1206,Desktop,France,Social Media,1,4,2025-06-19 10:29:08,confirmation
session_1207,Mobile,UK,Direct,0,0,2025-01-27 02:08:52,home
session_1208,Tablet,India,Email,0,1,2025-03-06 02:46:16,product_page
session_1209,Tablet,India,Direct,0,1,2025-08-26 22:39:00,product_page
session_121,Tablet,Germany,Email,0,2,2025-03-22 20:52:08,cart
session_1210,Desktop,UK,Google,0,1,2025-02-06 08:56:31,product_page
session_1211,Mobile,UK,Google,1,4,2025-01-26 03:41:34,confirmation
session_1212,Mobile,Canada,Social Media,0,1,2025-05-21 23:01:38,product_page
session_1213,Tablet,USA,Email,1,4,2025-03-17 22:46:26,confirmation
session_1214,Desktop,USA,Email,1,4,2025-01-09 16:59:51,confirmation
session_1215,Desktop,UK,Direct,0,0,2025-05-16 09:11:23,home
session_1216,Mobile,USA,Direct,0,0,2025-04-25 06:22:57,home
session_1217,Tablet,USA,Google,0,1,2025-02-01 13:58:46,product_page
session_1218,Mobile,Australia,Google,0,1,2025-08-03 08:27:38,product_page
session_1219,Mobile,Germany,Google,0,1,2025-03-24 21:31:13,product_page
session_122,Desktop,UK,Google,0,1,2025-04-14 17:49:42,product_page
session_1220,Tablet,Canada,Email,0,2,2025-07-02 16:54:21,cart
session_1221,Mobile,France,Google,0,0,2025-04-14 17:10:02,home
session_1222,Desktop,Germany,Direct,0,0,2025-07-26 11:40:46,home
session_1223,Tablet,Canada,Email,0,1,2025-03-15 09:16:57,product_page
session_1224,Tablet,Canada,Email,0,1,2025-03-18 15:41:08,product_page
session_1225,Tablet,UK,Direct,0,1,2025-08-24 16:02:40,product_page
session_1226,Desktop,India,Google,1,4,2025-07-29 09:41:12,confirmation
session_1227,Mobile,USA,Google,0,2,2025-04-06 19:05:50,cart
session_1228,Tablet,Australia,Google,0,0,2025-01-15 03:55:56,home
session_1229,Mobile,UK,Email,1,4,2025-06-22 06:15:35,confirmation
session_123,Mobile,Canada,Social Media,0,1,2025-05-31 18:23:17,product_page
session_1230,Mobile,UK,Direct,0,0,2025-02-22 02:53:12,home
session_1231,Tablet,France,Google,1,4,2025-03-09 21:17:05,confirmation
session_1232,Desktop,India,Email,0,0,2025-03-19 08:04:42,home
session_1233,Tablet,UK,Direct,1,4,2025-05-19 02:32:27,confirmation
session_1234,Tablet,USA,Direct,0,0,2025-03-14 21:22:07,home
session_1235,Mobile,Canada,Google,0,0,2025-01-28 14:39:57,home
session_1236,Mobile,Germany,Social Media,0,1,2025-01-30 18:47:51,product_page
session_1237,Mobile,Germany,Email,0,1,2025-08-10 06:22:11,product_page
session_1238,Mobile,USA,Google,0,1,2025-05-01 08:19:55,product_page
session_1239,Desktop,Germany,Email,0,1,2025-07-06 05:35:55,product_page
session_124,Desktop,Germany,Social Media,1,4,2025-07-10 12:27:01,confirmation
session_1240,Tablet,Australia,Google,0,0,2025-03-12 16:16:50,home
session_1241,Tablet,Germany,Social Media,0,3,2025-02-02 03:56:14,checkout
session_1242,Tablet,Australia,Email,0,1,2025-05-03 14:45:17,product_page
session_1243,Mobile,UK,Social Media,1,4,2025-04-26 15:23:24,confirmation
session_1244,Desktop,Australia,Direct,0,0,2025-01-12 05:53:17,home
session_1245,Mobile,Canada,Email,0,0,2025-08-27 16:07:59,home
session_1246,Desktop,India,Direct,0,0,2025-05-01 22:28:24,home
session_1247,Tablet,France,Google,1,4,2025-03-31 09:42:46,confirmation
session_1248,Tablet,France,Google,0,1,2025-06-05 10:52:48,product_page
session_1249,Desktop,UK,Google,0,1,2025-04-11 14:42:06,product_page
session_125,Tablet,India,Email,0,1,2025-04-16 21:41:55,product_page
session_1250,Tablet,UK,Email,0,1,2025-06-18 11:29:18,product_page
session_1251,Tablet,Germany,Email,0,1,2025-02-22 03:51:38,product_page
session_1252,Tablet,Germany,Direct,0,0,2025-07-28 16:43:38,home
session_1253,Mobile,USA,Direct,1,4,2025-01-09 13:09:05,confirmation
session_1254,Mobile,Germany,Email,0,3,2025-06-16 22:36:12,checkout
session_1255,Tablet,Canada,Direct,0,2,2025-03-25 10:22:55,cart
session_1256,Mobile,UK,Google,0,1,2025-06-16 10:16:11,product_page
session_1257,Desktop,Australia,Email,1,4,2025-02-08 08:04:07,confirmation
session_1258,Mobile,USA,Social Media,0,1,2025-04-07 18:56:08,product_page
session_1259,Tablet,France,Social Media,0,3,2025-01-29 22:20:32,checkout
session_126,Mobile,USA,Direct,0,0,2025-04-04 21:24:43,home
session_1260,Mobile,Australia,Google,0,3,2025-07-12 14:24:09,checkout
session_1261,Mobile,France,Social Media,0,1,2025-06-07 18:28:47,product_page
session_1262,Desktop,India,Google,1,4,2025-03-28 07:37:43,confirmation
session_1263,Mobile,UK,Direct,0,1,2025-07-07 11:43:02,product_page
session_1264,Tablet,Australia,Email,0,1,2025-06-12 02:03:32,product_page
session_1265,Mobile,Australia,Email,1,4,2025-02-01 01:42:31,confirmation
session_1266,Mobile,USA,Social Media,1,4,2025-07-03 00:20:28,confirmation
session_1267,Mobile,Australia,Google,0,1,2025-02-08 11:45:40,product_page
session_1268,Desktop,UK,Social Media,0,1,2025-05-07 06:43:23,product_page
session_1269,Mobile,France,Email,0,0,2025-01-26 08:51:12,home
session_127,Tablet,India,Email,0,2,2025-07-02 12:04:14,cart
session_1270,Tablet,India,Direct,0,1,2025-07-10 10:03:21,product_page
session_1271,Tablet,Canada,Direct,0,1,2025-08-10 19:07:38,product_page
session_1272,Mobile,France,Email,1,4,2025-07-09 07:36:11,confirmation
session_1273,Tablet,UK,Direct,1,4,2025-04-26 16:31:28,confirmation
session_1274,Tablet,India,Email,0,0,2025-02-17 07:03:08,home
session_1275,Tablet,Canada,Google,0,0,2025-08-20 09:24:59,home
session_1276,Mobile,Canada,Google,0,2,2025-04-03 23:09:28,cart
session_1277,Tablet,Canada,Google,0,1,2025-08-10 22:16:49,product_page
session_1278,Mobile,Australia,Email,0,1,2025-07-15 18:42:34,product_page
session_1279,Mobile,Australia,Social Media,1,4,2025-06-27 11:06:39,confirmation
session_128,Desktop,UK,Direct,1,4,2025-06-09 20:30:32,confirmation
session_1280,Tablet,Australia,Direct,0,2,2025-08-28 22:40:19,cart
session_1281,Desktop,Canada,Social Media,0,0,2025-05-19 14:09:54,home
session_1282,Tablet,Canada,Direct,0,2,2025-03-03 18:44:20,cart
session_1283,Tablet,Germany,Email,0,0,2025-08-16 16:09:20,home
session_1284,Desktop,Germany,Google,1,4,2025-02-16 18:32:21,confirmation
session_1285,Mobile,Germany,Direct,1,4,2025-06-15 13:01:29,confirmation
session_1286,Desktop,India,Direct,0,1,2025-01-02 00:02:16,product_page
session_1287,Desktop,Germany,Social Media,0,1,2025-02-09 21:52:43,product_page
session_1288,Desktop,India,Direct,0,1,2025-03-26 12:28:57,product_page
session_1289,Mobile,USA,Direct,0,1,2025-01-29 10:14:01,product_page
session_129,Desktop,UK,Direct,0,1,2025-04-11 17:04:06,product_page
session_1290,Mobile,Australia,Google,0,2,2025-06-20 07:43:31,cart
session_1291,Tablet,France,Google,1,4,2025-03-08 18:45:26,confirmation
session_1292,Tablet,France,Google,1,4,2025-05-23 08:09:13,confirmation
session_1293,Tablet,India,Email,1,4,2025-07-10 14:38:24,confirmation
session_1294,Mobile,Canada,Social Media,0,1,2025-03-16 03:16:11,product_page
session_1295,Tablet,UK,Email,0,1,2025-02-14 09:15:12,product_page
session_1296,Mobile,Germany,Email,0,0,2025-02-15 01:12:42,home
session_1297,Desktop,France,Email,0,1,2025-07-09 07:59:32,product_page
session_1298,Mobile,Germany,Google,1,4,2025-03-03 09:36:50,confirmation
session_1299,Tablet,India,Social Media,0,1,2025-07-12 14:02:17,product_page
session_13,Tablet,USA,Direct,0,2,2025-08-01 19:45:33,cart
session_130,Desktop,Germany,Social Media,1,4,2025-03-24 20:29:41,confirmation
session_1300,Tablet,India,Email,0,0,2025-06-07 17:01:04,home
session_1301,Mobile,Canada,Google,0,3,2025-01-27 15:59:22,checkout
session_1302,Tablet,Germany,Google,0,0,2025-04-07 10:07:26,home
session_1303,Desktop,USA,Direct,0,1,2025-07-04 16:56:33,product_page
session_1304,Desktop,USA,Direct,0,1,2025-06-06 02:08:40,product_page
session_1305,Mobile,Canada,Email,0,1,2025-07-03 21:03:26,product_page
session_1306,Mobile,UK,Direct,0,1,2025-04-05 20:14:10,product_page
session_1307,Tablet,Germany,Social Media,0,1,2025-02-10 07:24:45,product_page
session_1308,Tablet,Canada,Email,0,1,2025-05-31 09:08:19,product_page
session_1309,Tablet,Canada,Google,0,1,2025-04-11 06:37:42,product_page
session_131,Tablet,France,Social Media,0,1,2025-03-03 18:27:07,product_page
session_1310,Tablet,USA,Google,0,2,2025-06-23 07:07:59,cart
session_1311,Tablet,France,Direct,1,4,2025-05-12 07:12:45,confirmation
session_1312,Mobile,UK,Social Media,1,4,2025-08-21 00:49:24,confirmation
session_1313,Tablet,Canada,Direct,0,0,2025-01-22 17:49:15,home
session_1314,Desktop,India,Direct,0,1,2025-04-19 04:35:00,product_page
session_1315,Tablet,Germany,Direct,0,0,2025-07-29 09:01:13,home
session_1316,Mobile,Germany,Email,0,1,2025-03-20 04:55:34,product_page
session_1317,Tablet,UK,Direct,0,1,2025-06-21 16:12:57,product_page
session_1318,Desktop,UK,Social Media,0,1,2025-03-16 05:50:16,product_page
session_1319,Desktop,Canada,Direct,1,4,2025-04-12 00:19:41,confirmation
session_132,Mobile,Canada,Direct,0,0,2025-03-06 23:58:12,home
session_1320,Tablet,France,Social Media,0,1,2025-07-19 02:06:09,product_page
session_1321,Mobile,Australia,Social Media,1,4,2025-03-02 21:06:45,confirmation
session_1322,Mobile,UK,Social Media,1,4,2025-03-19 00:18:09,confirmation
session_1323,Mobile,USA,Direct,0,0,2025-03-06 08:17:07,home
session_1324,Desktop,Germany,Email,0,1,2025-04-01 10:37:11,product_page
session_1325,Tablet,USA,Email,0,1,2025-02-10 12:59:31,product_page
session_1326,Mobile,Germany,Email,0,0,2025-08-13 01:13:28,home
session_1327,Tablet,India,Social Media,0,0,2025-07-30 19:02:52,home
session_1328,Tablet,UK,Google,0,0,2025-04-20 01:18:03,home
session_1329,Desktop,India,Direct,0,0,2025-01-02 09:03:16,home
session_133,Tablet,UK,Email,0,1,2025-04-11 04:38:11,product_page
