SessionID,PageType,StepOrder,Timestamp,TimeOnPage_seconds,ItemsInCart
session_51,cart,2,2025-08-21 18:11:38,61,5
session_51,checkout,3,2025-08-21 18:13:38,120,5
session_51,confirmation,4,2025-08-21 18:15:51,133,0
session_52,home,0,2025-06-09 14:55:06,106,0
session_52,product_page,1,2025-06-09 14:57:09,123,0
session_53,home,0,2025-01-24 13:06:02,19,0
session_54,home,0,2025-07-15 22:13:28,146,0
session_54,product_page,1,2025-07-15 22:13:54,26,4
session_55,home,0,2025-02-18 14:01:18,66,0
session_55,product_page,1,2025-02-18 14:02:18,60,0
session_56,home,0,2025-03-17 06:59:07,79,0
session_56,product_page,1,2025-03-17 07:00:27,80,4
session_57,home,0,2025-06-03 13:56:17,147,0
session_57,product_page,1,2025-06-03 13:56:51,34,0
session_57,cart,2,2025-06-03 13:58:45,114,2
session_57,checkout,3,2025-06-03 13:59:52,67,2
session_57,confirmation,4,2025-06-03 14:00:29,37,0
session_58,home,0,2025-02-16 17:27:17,94,0
session_59,home,0,2025-07-10 21:44:11,69,0
session_59,product_page,1,2025-07-10 21:47:02,171,0
session_60,home,0,2025-05-09 13:10:09,128,0
session_61,home,0,2025-03-01 18:53:35,133,0
session_61,product_page,1,2025-03-01 18:54:47,72,2
session_62,home,0,2025-08-30 13:35:34,31,0
session_62,product_page,1,2025-08-30 13:36:52,78,2
session_63,home,0,2025-08-14 15:12:15,134,0
session_63,product_page,1,2025-08-14 15:13:10,55,5
session_63,cart,2,2025-08-14 15:14:24,74,5
session_63,checkout,3,2025-08-14 15:16:32,128,5
session_63,confirmation,4,2025-08-14 15:16:56,24,0
session_64,home,0,2025-01-06 22:18:14,80,0
session_64,product_page,1,2025-01-06 22:18:33,19,0
session_64,cart,2,2025-01-06 22:19:18,45,0
session_65,home,0,2025-03-05 19:49:12,153,0
session_65,product_page,1,2025-03-05 19:49:41,29,1
session_65,cart,2,2025-03-05 19:52:19,158,1
session_65,checkout,3,2025-03-05 19:55:01,162,1
session_65,confirmation,4,2025-03-05 19:57:16,135,0
session_66,home,0,2025-03-17 04:23:43,69,0
session_66,product_page,1,2025-03-17 04:24:58,75,2
session_67,home,0,2025-05-20 22:42:31,44,0
session_67,product_page,1,2025-05-20 22:43:57,86,4
session_68,home,0,2025-02-02 23:11:17,17,0
session_68,product_page,1,2025-02-02 23:11:55,38,0
session_68,cart,2,2025-02-02 23:12:16,21,0
session_68,checkout,3,2025-02-02 23:12:33,17,2
session_68,confirmation,4,2025-02-02 23:15:25,172,0
session_69,home,0,2025-08-07 15:18:08,27,0
session_69,product_page,1,2025-08-07 15:20:32,144,0
session_70,home,0,2025-02-27 02:03:59,28,0
session_70,product_page,1,2025-02-27 02:06:03,124,5
session_70,cart,2,2025-02-27 02:06:30,27,5
session_70,checkout,3,2025-02-27 02:09:04,154,5
session_70,confirmation,4,2025-02-27 02:09:33,29,0
session_71,home,0,2025-02-03 02:46:00,54,0
session_71,product_page,1,2025-02-03 02:46:44,44,0
session_71,cart,2,2025-02-03 02:47:56,72,0
session_71,checkout,3,2025-02-03 02:48:29,33,3
session_71,confirmation,4,2025-02-03 02:49:59,90,0
session_72,home,0,2025-06-14 11:02:04,149,0
session_72,product_page,1,2025-06-14 11:04:10,126,2
session_72,cart,2,2025-06-14 11:06:22,132,2
session_72,checkout,3,2025-06-14 11:07:53,91,2
session_72,confirmation,4,2025-06-14 11:09:54,121,0
session_73,home,0,2025-01-15 00:15:21,100,0
session_73,product_page,1,2025-01-15 00:17:12,111,0
session_74,home,0,2025-03-13 16:04:05,77,0
session_74,product_page,1,2025-03-13 16:06:55,170,0
session_75,home,0,2025-03-11 08:11:01,139,0
session_76,home,0,2025-08-24 23:07:24,131,0
session_77,home,0,2025-06-26 15:44:59,37,0
session_77,product_page,1,2025-06-26 15:47:10,131,0
session_78,home,0,2025-08-01 08:20:58,164,0
session_78,product_page,1,2025-08-01 08:23:06,128,2
session_79,home,0,2025-07-13 02:29:02,151,0
session_79,product_page,1,2025-07-13 02:30:04,62,4
session_80,home,0,2025-03-12 13:18:44,121,0
session_80,product_page,1,2025-03-12 13:19:57,73,1
session_81,home,0,2025-01-10 01:15:25,108,0
session_81,product_page,1,2025-01-10 01:15:55,30,0
session_82,home,0,2025-01-24 22:09:59,179,0
session_82,product_page,1,2025-01-24 22:12:46,167,0
session_83,home,0,2025-08-01 15:43:00,114,0
session_83,product_page,1,2025-08-01 15:43:48,48,4
session_83,cart,2,2025-08-01 15:44:12,24,4
session_84,home,0,2025-04-19 11:59:52,132,0
session_84,product_page,1,2025-04-19 12:01:42,110,5
session_84,cart,2,2025-04-19 12:02:06,24,5
session_84,checkout,3,2025-04-19 12:02:31,25,5
session_84,confirmation,4,2025-04-19 12:02:59,28,0
session_85,home,0,2025-05-09 07:33:46,40,0
session_85,product_page,1,2025-05-09 07:34:40,54,5
session_86,home,0,2025-07-31 15:29:10,166,0
session_86,product_page,1,2025-07-31 15:30:13,63,3
session_87,home,0,2025-07-17 04:23:56,56,0
session_87,product_page,1,2025-07-17 04:26:41,165,2
session_88,home,0,2025-04-29 10:09:31,163,0
session_88,product_page,1,2025-04-29 10:10:44,73,2
session_88,cart,2,2025-04-29 10:11:02,18,2
session_89,home,0,2025-03-21 17:21:03,74,0
session_89,product_page,1,2025-03-21 17:21:53,50,1
session_89,cart,2,2025-03-21 17:24:26,153,1
session_89,checkout,3,2025-03-21 17:26:17,111,1
session_89,confirmation,4,2025-03-21 17:29:01,164,0
session_90,home,0,2025-06-22 16:00:12,28,0
session_90,product_page,1,2025-06-22 16:02:30,138,5
session_90,cart,2,2025-06-22 16:05:07,157,5
session_91,home,0,2025-02-20 19:25:41,116,0
session_92,home,0,2025-01-30 07:01:49,17,0
session_92,product_page,1,2025-01-30 07:02:05,16,2
session_92,cart,2,2025-01-30 07:04:24,139,2
session_93,home,0,2025-01-16 17:17:05,55,0
session_93,product_page,1,2025-01-16 17:18:57,112,1
session_93,cart,2,2025-01-16 17:20:30,93,1
session_93,checkout,3,2025-01-16 17:23:23,173,1
session_93,confirmation,4,2025-01-16 17:25:27,124,0
session_94,home,0,2025-01-19 20:17:08,142,0
session_95,home,0,2025-03-03 09:26:35,136,0
session_95,product_page,1,2025-03-03 09:28:33,118,4
session_96,home,0,2025-03-07 01:58:20,109,0
session_96,product_page,1,2025-03-07 01:58:42,22,0
session_96,cart,2,2025-03-07 01:59:39,57,3
session_97,home,0,2025-01-01 20:58:48,90,0
session_97,product_page,1,2025-01-01 20:59:16,28,2
session_98,home,0,2025-03-22 04:55:19,94,0
session_98,product_page,1,2025-03-22 04:56:19,60,1
session_98,cart,2,2025-03-22 04:57:31,72,1
session_99,home,0,2025-08-18 05:49:00,118,0
session_99,product_page,1,2025-08-18 05:51:08,128,0
session_99,cart,2,2025-08-18 05:51:37,29,4
session_99,checkout,3,2025-08-18 05:52:26,49,4
session_99,confirmation,4,2025-08-18 05:55:15,169,0
session_100,home,0,2025-04-02 11:24:36,36,0
session_100,product_page,1,2025-04-02 11:25:41,65,1
session_101,home,0,2025-04-14 06:47:08,128,0
session_101,product_page,1,2025-04-14 06:47:50,42,0
session_101,cart,2,2025-04-14 06:49:32,102,0
session_101,checkout,3,2025-04-14 06:51:29,117,2
session_101,confirmation,4,2025-04-14 06:54:24,175,0
session_102,home,0,2025-02-12 23:06:34,69,0
session_102,product_page,1,2025-02-12 23:08:57,143,0
session_103,home,0,2025-01-10 20:14:17,90,0
session_103,product_page,1,2025-01-10 20:15:15,58,3
session_104,home,0,2025-07-22 13:46:16,15,0
session_104,product_page,1,2025-07-22 13:46:55,39,4
session_105,home,0,2025-02-28 20:54:48,66,0
session_105,product_page,1,2025-02-28 20:57:01,133,2
session_106,home,0,2025-01-26 20:08:51,139,0
session_106,product_page,1,2025-01-26 20:09:57,66,1
session_107,home,0,2025-01-02 05:30:07,15,0
session_107,product_page,1,2025-01-02 05:30:37,30,0
session_108,home,0,2025-02-21 13:57:38,47,0
session_108,product_page,1,2025-02-21 13:58:28,50,5
session_109,home,0,2025-07-30 14:11:29,149,0
session_109,product_page,1,2025-07-30 14:12:01,32,0
session_109,cart,2,2025-07-30 14:14:53,172,2
session_109,checkout,3,2025-07-30 14:17:14,141,2
session_109,confirmation,4,2025-07-30 14:17:56,42,0
session_110,home,0,2025-01-30 08:29:05,35,0
session_110,product_page,1,2025-01-30 08:30:09,64,3
session_110,cart,2,2025-01-30 08:31:03,54,3
session_110,checkout,3,2025-01-30 08:33:25,142,3
session_110,confirmation,4,2025-01-30 08:34:15,50,0
session_111,home,0,2025-08-27 10:04:00,45,0
session_111,product_page,1,2025-08-27 10:05:11,71,0
session_112,home,0,2025-06-22 06:14:23,129,0
session_112,product_page,1,2025-06-22 06:15:35,72,3
session_113,home,0,2025-01-24 01:46:09,21,0
session_113,product_page,1,2025-01-24 01:48:10,121,4
session_114,home,0,2025-03-07 16:44:46,79,0
session_114,product_page,1,2025-03-07 16:45:08,22,0
session_115,home,0,2025-04-17 22:20:10,80,0
session_115,product_page,1,2025-04-17 22:21:16,66,4
session_116,home,0,2025-08-09 08:34:48,162,0
session_116,product_page,1,2025-08-09 08:35:32,44,0
session_117,home,0,2025-05-04 20:49:01,139,0
session_117,product_page,1,2025-05-04 20:51:51,170,0
session_118,home,0,2025-02-10 09:54:26,39,0
session_118,product_page,1,2025-02-10 09:57:17,171,0
session_119,home,0,2025-08-06 05:01:41,119,0
session_119,product_page,1,2025-08-06 05:03:53,132,5
session_119,cart,2,2025-08-06 05:06:36,163,5
session_119,checkout,3,2025-08-06 05:09:04,148,5
session_119,confirmation,4,2025-08-06 05:12:01,177,0
session_120,home,0,2025-07-04 20:22:01,126,0
session_120,product_page,1,2025-07-04 20:24:42,161,1
session_120,cart,2,2025-07-04 20:26:30,108,1
session_120,checkout,3,2025-07-04 20:27:58,88,1
session_120,confirmation,4,2025-07-04 20:30:36,158,0
session_121,home,0,2025-03-22 20:52:08,168,0
session_121,product_page,1,2025-03-22 20:52:48,40,1
session_121,cart,2,2025-03-22 20:54:23,95,1
session_122,home,0,2025-04-14 17:49:42,158,0
session_122,product_page,1,2025-04-14 17:50:24,42,5
session_123,home,0,2025-05-31 18:23:17,43,0
session_123,product_page,1,2025-05-31 18:23:39,22,0
session_124,home,0,2025-07-10 12:27:01,45,0
session_124,product_page,1,2025-07-10 12:29:49,168,0
session_124,cart,2,2025-07-10 12:30:28,39,0
session_124,checkout,3,2025-07-10 12:32:16,108,2
session_124,confirmation,4,2025-07-10 12:33:47,91,0
session_125,home,0,2025-04-16 21:41:55,129,0
session_125,product_page,1,2025-04-16 21:43:54,119,3
session_126,home,0,2025-04-04 21:24:43,76,0
session_127,home,0,2025-07-02 12:04:14,90,0
session_127,product_page,1,2025-07-02 12:07:05,171,2
session_127,cart,2,2025-07-02 12:09:54,169,2
session_128,home,0,2025-06-09 20:30:32,57,0
session_128,product_page,1,2025-06-09 20:32:11,99,0
session_128,cart,2,2025-06-09 20:32:26,15,0
session_128,checkout,3,2025-06-09 20:33:35,69,3
session_128,confirmation,4,2025-06-09 20:33:58,23,0
session_129,home,0,2025-04-11 17:04:06,166,0
session_129,product_page,1,2025-04-11 17:05:01,55,0
session_130,home,0,2025-03-24 20:29:41,157,0
session_130,product_page,1,2025-03-24 20:30:34,53,4
session_130,cart,2,2025-03-24 20:31:12,38,4
session_130,checkout,3,2025-03-24 20:33:55,163,4
session_130,confirmation,4,2025-03-24 20:35:36,101,0
session_131,home,0,2025-03-03 18:27:07,51,0
session_131,product_page,1,2025-03-03 18:28:12,65,3
session_132,home,0,2025-03-06 23:58:12,150,0
session_133,home,0,2025-04-11 04:38:11,66,0
session_133,product_page,1,2025-04-11 04:39:50,99,0
session_134,home,0,2025-03-18 14:12:14,127,0
session_134,product_page,1,2025-03-18 14:14:27,133,2
session_135,home,0,2025-04-08 05:48:29,56,0
session_135,product_page,1,2025-04-08 05:49:31,62,3
session_135,cart,2,2025-04-08 05:50:14,43,3
session_135,checkout,3,2025-04-08 05:52:26,132,3
session_136,home,0,2025-03-15 10:09:41,180,0
session_136,product_page,1,2025-03-15 10:11:23,102,5
session_137,home,0,2025-03-31 15:09:39,131,0
session_137,product_page,1,2025-03-31 15:10:01,22,0
session_138,home,0,2025-07-19 22:50:50,92,0
session_138,product_page,1,2025-07-19 22:52:50,120,0
session_138,cart,2,2025-07-19 22:55:22,152,2
session_138,checkout,3,2025-07-19 22:57:01,99,2
session_138,confirmation,4,2025-07-19 22:59:03,122,0
session_139,home,0,2025-03-15 14:00:00,124,0
session_139,product_page,1,2025-03-15 14:01:38,98,1
session_140,home,0,2025-04-17 17:37:40,63,0
session_140,product_page,1,2025-04-17 17:39:41,121,0
session_140,cart,2,2025-04-17 17:40:52,71,1
session_141,home,0,2025-06-09 06:55:12,67,0
session_141,product_page,1,2025-06-09 06:57:35,143,0
session_142,home,0,2025-05-03 06:26:48,138,0
session_142,product_page,1,2025-05-03 06:28:49,121,3
session_143,home,0,2025-07-22 22:17:32,25,0
session_143,product_page,1,2025-07-22 22:20:06,154,0
session_144,home,0,2025-03-25 18:38:49,45,0
session_144,product_page,1,2025-03-25 18:40:52,123,0
session_145,home,0,2025-08-04 13:59:38,180,0
session_145,product_page,1,2025-08-04 14:02:32,174,0
session_145,cart,2,2025-08-04 14:04:32,120,0
session_145,checkout,3,2025-08-04 14:06:45,133,2
session_145,confirmation,4,2025-08-04 14:08:55,130,0
session_146,home,0,2025-02-09 13:19:12,44,0
session_146,product_page,1,2025-02-09 13:22:05,173,4
session_147,home,0,2025-08-11 06:00:33,141,0
session_147,product_page,1,2025-08-11 06:02:34,121,0
session_147,cart,2,2025-08-11 06:04:35,121,0
session_147,checkout,3,2025-08-11 06:06:23,108,3
session_147,confirmation,4,2025-08-11 06:06:44,21,0
session_148,home,0,2025-05-09 12:32:45,26,0
session_148,product_page,1,2025-05-09 12:33:09,24,3
session_148,cart,2,2025-05-09 12:33:30,21,3
session_148,checkout,3,2025-05-09 12:36:06,156,3
session_148,confirmation,4,2025-05-09 12:37:44,98,0
session_149,home,0,2025-03-14 16:27:55,41,0
session_150,home,0,2025-03-13 04:31:52,46,0
session_151,home,0,2025-02-04 18:21:30,20,0
session_151,product_page,1,2025-02-04 18:22:09,39,0
session_151,cart,2,2025-02-04 18:24:05,116,0
session_151,checkout,3,2025-02-04 18:26:02,117,2
session_152,home,0,2025-08-15 21:26:35,145,0
session_152,product_page,1,2025-08-15 21:28:45,130,0
session_153,home,0,2025-07-23 09:50:33,78,0
session_153,product_page,1,2025-07-23 09:51:29,56,0
session_154,home,0,2025-03-24 20:31:29,81,0
session_155,home,0,2025-05-02 23:51:52,82,0
session_155,product_page,1,2025-05-02 23:53:11,79,4
session_155,cart,2,2025-05-02 23:55:10,119,4
session_156,home,0,2025-06-18 02:09:46,159,0
session_156,product_page,1,2025-06-18 02:11:59,133,4
session_156,cart,2,2025-06-18 02:12:59,60,4
session_156,checkout,3,2025-06-18 02:14:24,85,4
session_156,confirmation,4,2025-06-18 02:16:55,151,0
session_157,home,0,2025-03-24 09:24:46,104,0
session_157,product_page,1,2025-03-24 09:26:58,132,3
session_158,home,0,2025-07-10 07:31:11,131,0
session_158,product_page,1,2025-07-10 07:31:53,42,0
session_158,cart,2,2025-07-10 07:33:26,93,5
session_159,home,0,2025-07-23 21:07:05,55,0
session_160,home,0,2025-06-09 21:48:37,114,0
session_160,product_page,1,2025-06-09 21:49:16,39,0
session_160,cart,2,2025-06-09 21:49:47,31,1
session_160,checkout,3,2025-06-09 21:52:18,151,1
session_161,home,0,2025-08-20 21:44:47,130,0
session_161,product_page,1,2025-08-20 21:46:00,73,0
session_162,home,0,2025-08-30 23:26:35,78,0
session_162,product_page,1,2025-08-30 23:28:01,86,2
session_162,cart,2,2025-08-30 23:28:45,44,2
session_162,checkout,3,2025-08-30 23:30:43,118,2
session_162,confirmation,4,2025-08-30 23:32:13,90,0
session_163,home,0,2025-02-23 19:38:10,65,0
session_163,product_page,1,2025-02-23 19:38:53,43,0
session_163,cart,2,2025-02-23 19:39:31,38,4
session_163,checkout,3,2025-02-23 19:39:56,25,4
session_163,confirmation,4,2025-02-23 19:41:44,108,0
session_164,home,0,2025-05-16 18:38:23,145,0
session_164,product_page,1,2025-05-16 18:41:14,171,0
session_164,cart,2,2025-05-16 18:43:13,119,1
session_165,home,0,2025-01-27 08:53:51,64,0
session_165,product_page,1,2025-01-27 08:54:26,35,0
session_166,home,0,2025-07-31 13:30:11,37,0
session_166,product_page,1,2025-07-31 13:31:03,52,5
session_167,home,0,2025-02-27 23:29:10,172,0
session_167,product_page,1,2025-02-27 23:31:09,119,0
session_168,home,0,2025-02-16 02:42:06,17,0
session_168,product_page,1,2025-02-16 02:43:47,101,2
session_168,cart,2,2025-02-16 02:44:29,42,2
session_168,checkout,3,2025-02-16 02:46:55,146,2
session_168,confirmation,4,2025-02-16 02:48:33,98,0
session_169,home,0,2025-08-02 10:09:12,106,0
session_169,product_page,1,2025-08-02 10:11:00,108,0
session_169,cart,2,2025-08-02 10:11:23,23,2
session_170,home,0,2025-05-21 09:07:02,120,0
session_170,product_page,1,2025-05-21 09:07:56,54,3
session_170,cart,2,2025-05-21 09:09:19,83,3
session_171,home,0,2025-03-18 19:36:04,43,0
session_171,product_page,1,2025-03-18 19:37:14,70,0
session_172,home,0,2025-08-31 18:34:39,55,0
session_172,product_page,1,2025-08-31 18:35:01,22,0
session_173,home,0,2025-04-27 22:10:33,92,0
session_173,product_page,1,2025-04-27 22:10:53,20,0
session_174,home,0,2025-02-11 08:30:31,132,0
session_174,product_page,1,2025-02-11 08:31:39,68,0
session_175,home,0,2025-03-09 20:26:56,105,0
session_176,home,0,2025-08-19 16:43:10,94,0
session_177,home,0,2025-07-27 21:49:41,38,0
session_178,home,0,2025-07-03 14:55:04,180,0
session_178,product_page,1,2025-07-03 14:57:22,138,1
session_178,cart,2,2025-07-03 14:58:08,46,1
session_178,checkout,3,2025-07-03 15:00:08,120,1
session_178,confirmation,4,2025-07-03 15:03:01,173,0
session_179,home,0,2025-08-22 08:20:48,58,0
session_179,product_page,1,2025-08-22 08:21:10,22,2
session_180,home,0,2025-07-06 05:57:25,32,0
session_180,product_page,1,2025-07-06 05:59:56,151,0
session_180,cart,2,2025-07-06 06:02:08,132,0
session_181,home,0,2025-04-15 07:30:46,38,0
session_181,product_page,1,2025-04-15 07:31:43,57,1
session_182,home,0,2025-03-06 05:06:40,40,0
session_183,home,0,2025-03-07 01:57:51,125,0
session_183,product_page,1,2025-03-07 01:58:35,44,1
session_184,home,0,2025-05-22 10:59:23,177,0
session_185,home,0,2025-08-05 20:29:27,64,0
session_186,home,0,2025-03-26 22:42:00,22,0
session_186,product_page,1,2025-03-26 22:42:34,34,0
session_187,home,0,2025-07-06 01:21:13,154,0
session_187,product_page,1,2025-07-06 01:22:41,88,0
session_188,home,0,2025-06-24 10:26:57,46,0
session_188,product_page,1,2025-06-24 10:29:39,162,0
session_188,cart,2,2025-06-24 10:31:59,140,1
session_188,checkout,3,2025-06-24 10:34:16,137,1
session_188,confirmation,4,2025-06-24 10:37:02,166,0
session_189,home,0,2025-07-13 06:34:25,158,0
session_189,product_page,1,2025-07-13 06:36:09,104,2
session_189,cart,2,2025-07-13 06:38:07,118,2
session_189,checkout,3,2025-07-13 06:38:24,17,2
session_189,confirmation,4,2025-07-13 06:40:50,146,0
session_190,home,0,2025-05-31 10:27:31,119,0
session_191,home,0,2025-02-07 21:14:28,42,0
session_191,product_page,1,2025-02-07 21:14:56,28,3
session_192,home,0,2025-05-29 02:00:37,34,0
session_192,product_page,1,2025-05-29 02:01:34,57,1
session_193,home,0,2025-04-27 20:55:20,72,0
session_193,product_page,1,2025-04-27 20:57:47,147,3
session_194,home,0,2025-05-27 14:04:02,51,0
session_195,home,0,2025-05-24 11:16:58,76,0
session_195,product_page,1,2025-05-24 11:19:47,169,0
session_196,home,0,2025-08-09 18:41:48,88,0
session_196,product_page,1,2025-08-09 18:42:52,64,5
session_197,home,0,2025-04-07 23:24:28,78,0
session_197,product_page,1,2025-04-07 23:27:27,179,4
session_198,home,0,2025-05-11 22:02:11,119,0
session_198,product_page,1,2025-05-11 22:04:38,147,0
session_198,cart,2,2025-05-11 22:07:15,157,0
session_199,home,0,2025-01-09 19:56:59,89,0
session_199,product_page,1,2025-01-09 19:57:18,19,2
session_200,home,0,2025-03-29 12:58:29,115,0
session_200,product_page,1,2025-03-29 12:58:54,25,2
session_200,cart,2,2025-03-29 13:01:41,167,2
session_200,checkout,3,2025-03-29 13:02:13,32,2
session_200,confirmation,4,2025-03-29 13:03:01,48,0
session_201,home,0,2025-08-05 16:07:49,65,0
session_201,product_page,1,2025-08-05 16:10:32,163,1
session_201,cart,2,2025-08-05 16:11:18,46,1
session_201,checkout,3,2025-08-05 16:12:51,93,1
session_201,confirmation,4,2025-08-05 16:13:37,46,0
session_202,home,0,2025-01-20 15:40:21,119,0
session_202,product_page,1,2025-01-20 15:42:04,103,2
session_202,cart,2,2025-01-20 15:44:41,157,2
session_202,checkout,3,2025-01-20 15:45:04,23,2
session_202,confirmation,4,2025-01-20 15:46:26,82,0
session_203,home,0,2025-07-24 16:52:43,30,0
session_203,product_page,1,2025-07-24 16:54:16,93,4
session_203,cart,2,2025-07-24 16:56:28,132,4
session_204,home,0,2025-03-29 00:36:13,163,0
session_204,product_page,1,2025-03-29 00:39:09,176,3
